LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Gurgaon,2014,Volkswagen,Polo HIGHLINE1.2L DIESEL,Manual,"47,571 km",Diesel,1st Owner,"₹3,73,499"
Gurgaon,2017,Renault,Kwid 1.0 RXL,Manual,"29,082 km",Petrol,1st Owner,"₹2,61,799"
Gurgaon,2017,Maruti,IGNIS DELTA 1.2 K12,Manual,"37,687 km",Petrol,1st Owner,"₹3,99,999"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"34,487 km",Petrol,1st Owner,"₹3,00,999"
Gurgaon,2016,Honda,Brio 1.2 VX AT I VTEC,Automatic,"44,910 km",Petrol,2nd Owner,"₹3,79,999"
Gurgaon,2020,Maruti,Alto LXI,Manual,"19,593 km",Petrol + CNG,1st Owner,"₹3,54,799"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"52,490 km",Diesel,1st Owner,"₹4,09,099"
Gurgaon,2015,Hyundai,Elite i20 MAGNA 1.4 CRDI,Manual,"47,644 km",Diesel,1st Owner,"₹4,94,299"
Gurgaon,2011,Hyundai,i20 MAGNA O 1.2,Manual,"64,651 km",Petrol,1st Owner,"₹2,65,599"
Gurgaon,2019,Renault,Kwid 1.0 RXT Opt,Manual,"18,656 km",Petrol,1st Owner,"₹3,94,599"
Gurgaon,2017,Maruti,Baleno ZETA 1.2 K12,Manual,"37,288 km",Petrol,1st Owner,"₹4,95,099"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"55,278 km",Petrol + CNG,2nd Owner,"₹2,84,899"
Gurgaon,2009,Hyundai,i20 ASTA 1.2 O WITH SUNROOF,Manual,"73,081 km",Petrol + CNG,2nd Owner,"₹2,03,499"
Gurgaon,2020,Maruti,IGNIS SIGMA 1.2 K12,Manual,"2,206 km",Petrol,1st Owner,"₹5,25,699"
Gurgaon,2015,Maruti,Alto 800 LXI,Manual,"7,245 km",Petrol,1st Owner,"₹2,84,299"
Gurgaon,2015,Maruti,Alto 800 LXI,Manual,"9,217 km",Petrol,1st Owner,"₹2,87,899"
Gurgaon,2015,Honda,Brio 1.2 VX AT I VTEC,Automatic,"22,774 km",Petrol,1st Owner,"₹4,30,599"
Gurgaon,2020,Renault,Kwid 1.0 RXT Opt,Manual,"4,185 km",Petrol,1st Owner,"₹4,11,999"
Gurgaon,2018,Maruti,Alto K10 LXI,Manual,"9,253 km",Petrol,1st Owner,"₹3,51,399"
Gurgaon,2013,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"40,273 km",Petrol,1st Owner,"₹3,55,099"
Gurgaon,2013,Maruti,Alto 800 LXI,Manual,"10,111 km",Petrol,1st Owner,"₹2,89,199"
Gurgaon,2016,Tata,Tiago XM 1.2 REVOTRON,Manual,"25,538 km",Petrol,1st Owner,"₹3,32,899"
Gurgaon,2014,Maruti,Alto 800 VXI,Manual,"38,526 km",Petrol,2nd Owner,"₹2,25,199"
Gurgaon,2017,Maruti,Alto K10 VXI,Manual,"18,905 km",Petrol,1st Owner,"₹3,58,499"
Gurgaon,2018,Maruti,Alto 800 LXI,Manual,"23,900 km",Petrol,1st Owner,"₹2,90,599"
Gurgaon,2018,Tata,Tiago XZ 1.2 REVOTRON,Manual,"7,927 km",Petrol,1st Owner,"₹5,23,199"
Gurgaon,2012,Maruti,Swift VDI,Manual,"47,140 km",Diesel,1st Owner,"₹3,38,999"
Gurgaon,2012,Hyundai,Eon ERA PLUS,Manual,"38,407 km",Petrol,1st Owner,"₹1,97,199"
Gurgaon,2018,Maruti,Celerio VXI (O),Manual,"21,136 km",Petrol,1st Owner,"₹4,25,199"
Gurgaon,2012,Hyundai,i10 SPORTZ 1.2 AT KAPPA2,Automatic,"36,725 km",Petrol,1st Owner,"₹2,99,099"
Gurgaon,2010,Maruti,Wagon R 1.0 LXI,Manual,"45,029 km",Petrol,1st Owner,"₹1,89,599"
Gurgaon,2013,Maruti,Swift ZDI,Manual,"1,01,881 km",Diesel,2nd Owner,"₹3,28,399"
Gurgaon,2013,Hyundai,i20 SPORTZ 1.4 CRDI,Manual,"1,39,784 km",Diesel,1st Owner,"₹2,64,599"
Gurgaon,2014,Maruti,Swift ZDI,Manual,"1,06,521 km",Diesel,1st Owner,"₹3,80,299"
Gurgaon,2014,Maruti,Swift VXI,Manual,"1,75,425 km",Petrol + CNG,1st Owner,"₹3,64,599"
Gurgaon,2013,Hyundai,i20 ASTA 1.4 CRDI,Manual,"68,514 km",Diesel,1st Owner,"₹3,54,799"
Gurgaon,2013,Maruti,Alto K10 VXI,Manual,"21,784 km",Petrol,2nd Owner,"₹2,40,199"
Gurgaon,2010,Maruti,Alto LXI,Manual,"48,254 km",Petrol,1st Owner,"₹1,50,899"
Gurgaon,2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"5,937 km",Petrol,1st Owner,"₹5,63,399"
Gurgaon,2020,Maruti,Alto LXI,Manual,"3,942 km",Petrol,1st Owner,"₹3,98,399"
Gurgaon,2016,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"19,017 km",Petrol,2nd Owner,"₹4,10,499"
Gurgaon,2010,Maruti,Alto K10 VXI,Manual,"41,190 km",Petrol,1st Owner,"₹1,80,599"
Gurgaon,2016,Hyundai,Eon ERA PLUS,Manual,"19,404 km",Petrol,2nd Owner,"₹2,46,099"
Gurgaon,2015,Renault,Kwid RXT Opt,Manual,"20,231 km",Petrol,1st Owner,"₹2,95,599"
Gurgaon,2014,Maruti,Swift VDI,Manual,"38,605 km",Diesel,1st Owner,"₹3,60,299"
Gurgaon,2014,Hyundai,Eon ERA PLUS,Manual,"12,232 km",Petrol,1st Owner,"₹2,59,899"
Gurgaon,2010,Maruti,Ritz ZXI,Manual,"41,832 km",Petrol,1st Owner,"₹2,56,799"
Gurgaon,2014,Maruti,Alto K10 LXI,Manual,"31,013 km",Petrol,1st Owner,"₹2,47,399"
Gurgaon,2016,Maruti,Alto 800 LXI,Manual,"21,305 km",Petrol,1st Owner,"₹3,14,699"
Gurgaon,2013,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"43,986 km",Petrol,1st Owner,"₹3,93,099"
Gurgaon,2015,Hyundai,Eon MAGNA PLUS,Manual,"44,875 km",Petrol,1st Owner,"₹2,75,299"
Gurgaon,2015,Hyundai,Elite i20 MAGNA 1.4 CRDI,Manual,"34,526 km",Diesel,1st Owner,"₹4,89,899"
Gurgaon,2019,Renault,Kwid RXL,Manual,"13,953 km",Petrol,1st Owner,"₹3,31,599"
Gurgaon,2015,Hyundai,Elite i20 ASTA 1.2,Manual,"33,553 km",Petrol,1st Owner,"₹5,65,599"
Gurgaon,2018,Maruti,Alto 800 LXI,Manual,"16,323 km",Petrol,2nd Owner,"₹3,18,399"
Gurgaon,2017,Maruti,Alto 800 LXI,Manual,"41,185 km",Petrol,1st Owner,"₹2,83,199"
Gurgaon,2008,Maruti,Alto LXI,Manual,"22,357 km",Petrol,1st Owner,"₹1,47,699"
Gurgaon,2014,Maruti,Alto K10 VXI,Manual,"37,165 km",Petrol,1st Owner,"₹2,69,899"
Gurgaon,2017,Maruti,Alto 800 LXI OPT,Manual,"26,328 km",Petrol,1st Owner,"₹2,92,299"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"59,849 km",Diesel,1st Owner,"₹4,51,999"
Gurgaon,2013,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"43,969 km",Petrol,1st Owner,"₹3,84,699"
Gurgaon,2012,Toyota,Etios Liva GD,Manual,"61,443 km",Diesel,1st Owner,"₹3,11,099"
Gurgaon,2016,Maruti,Alto 800 LXI,Manual,"46,227 km",Petrol,1st Owner,"₹2,67,899"
Gurgaon,2013,Hyundai,Eon D LITE PLUS,Manual,"49,817 km",Petrol,1st Owner,"₹2,11,299"
Gurgaon,2014,Maruti,Swift LXI,Manual,"61,924 km",Petrol,1st Owner,"₹4,21,199"
Gurgaon,2018,Maruti,Wagon R 1.0 LXI,Manual,"69,958 km",Petrol,1st Owner,"₹3,66,099"
Gurgaon,2015,Renault,Kwid RXL,Manual,"48,720 km",Petrol,3rd Owner,"₹2,34,899"
Gurgaon,2015,Maruti,Swift VXI,Manual,"31,754 km",Petrol,2nd Owner,"₹5,03,299"
Gurgaon,2008,Maruti,Alto LXI,Manual,"62,613 km",Petrol,1st Owner,"₹1,40,699"
Gurgaon,2019,Maruti,Alto 800 LXI,Manual,"36,612 km",Petrol,1st Owner,"₹3,26,599"
Gurgaon,2015,Hyundai,Elite i20 ASTA 1.2,Manual,"55,683 km",Petrol,1st Owner,"₹5,58,799"
Gurgaon,2017,Maruti,Swift VDI ABS,Manual,"73,900 km",Diesel,1st Owner,"₹4,57,099"
Gurgaon,2012,Maruti,Swift LXI,Manual,"65,916 km",Petrol,1st Owner,"₹3,33,199"
Gurgaon,2016,Maruti,Swift VDI ABS,Manual,"66,524 km",Diesel,1st Owner,"₹4,23,199"
Gurgaon,2016,Maruti,Baleno ZETA 1.2 K12 CVT,,"52,934 km",Petrol,1st Owner,"₹5,10,699"
Gurgaon,2011,Hyundai,i10 MAGNA 1.1 IRDE2,Manual,"29,101 km",Petrol,3rd Owner,"₹2,79,799"
Gurgaon,2012,Maruti,Ritz LDI,Manual,"72,481 km",Diesel,1st Owner,"₹2,09,899"
Gurgaon,2012,Maruti,Swift VDI,Manual,"67,892 km",Diesel,2nd Owner,"₹3,69,299"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"31,200 km",Petrol,2nd Owner,"₹3,69,499"
Gurgaon,2012,Maruti,Swift VDI,Manual,"76,353 km",Diesel,1st Owner,"₹3,14,899"
Gurgaon,2009,Hyundai,i20 MAGNA 1.2 VTVT,Manual,"45,449 km",Petrol,2nd Owner,"₹2,38,499"
Gurgaon,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"87,865 km",Petrol,1st Owner,"₹4,81,899"
Gurgaon,2016,Maruti,Baleno DELTA 1.2 K12,Manual,"50,140 km",Petrol,2nd Owner,"₹5,06,699"
Gurgaon,2010,Maruti,Zen Estilo LXI,Manual,"66,275 km",Petrol,2nd Owner,"₹1,83,699"
Gurgaon,2012,Volkswagen,Polo COMFORTLINE 1.2L DIESEL,Manual,"69,584 km",Diesel,1st Owner,"₹3,37,999"
Gurgaon,2015,Maruti,Alto 800 LXI,Manual,"50,024 km",Petrol,1st Owner,"₹2,75,899"
Gurgaon,2016,Renault,Kwid RXT,Manual,"40,124 km",Petrol,3rd Owner,"₹2,88,099"
Gurgaon,2014,Maruti,Swift VDI,Manual,"71,382 km",Diesel,1st Owner,"₹3,54,899"
Gurgaon,2014,Maruti,Swift VDI,Manual,"72,597 km",Diesel,1st Owner,"₹3,49,799"
Gurgaon,2013,Hyundai,i20 MAGNA O 1.4 CRDI,Manual,"75,814 km",Diesel,1st Owner,"₹2,83,499"
Gurgaon,2007,Maruti,Alto LXI,Manual,"57,718 km",Petrol,2nd Owner,"₹1,26,699"
Gurgaon,2012,Maruti,Alto 800 LXI,Manual,"82,189 km",Petrol,1st Owner,"₹2,62,999"
Gurgaon,2018,Volkswagen,Polo GT TSI,Manual,"43,872 km",Petrol,1st Owner,"₹7,16,799"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"80,212 km",Diesel,1st Owner,"₹3,88,399"
Gurgaon,2012,Hyundai,i20 SPORTZ 1.2 O,Manual,"79,856 km",Petrol,2nd Owner,"₹3,36,399"
Gurgaon,2015,Hyundai,Elite i20 ASTA 1.4 CRDI,Manual,"73,244 km",Diesel,2nd Owner,"₹6,30,299"
Gurgaon,2010,Maruti,Ritz LXI,Manual,"75,699 km",Petrol + CNG,3rd Owner,"₹2,41,399"
Gurgaon,2009,Hyundai,i20 MAGNA 1.2 VTVT,Manual,"1,26,202 km",Petrol,1st Owner,"₹2,46,399"
Gurgaon,2012,Maruti,Ritz VDI,Manual,"1,09,107 km",Diesel,1st Owner,"₹2,40,399"
Gurgaon,2012,Toyota,Etios Liva D 4D GD,Manual,"1,24,471 km",Diesel,1st Owner,"₹2,72,699"
Gurgaon,2013,Toyota,Etios Liva GD exclusive,Manual,"97,735 km",Diesel,1st Owner,"₹3,07,199"
Gurgaon,2012,Honda,Brio 1.2 S MT I VTEC,Manual,"96,609 km",Petrol,2nd Owner,"₹2,67,799"
Gurgaon,2012,Maruti,Swift VDI,Manual,"95,400 km",Diesel,2nd Owner,"₹2,95,699"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"91,461 km",Diesel,1st Owner,"₹4,13,599"
Gurgaon,2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Manual,"1,05,271 km",Petrol,1st Owner,"₹2,09,599"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"96,266 km",Diesel,1st Owner,"₹4,18,499"
Gurgaon,2016,Maruti,Baleno ALPHA DDIS 190,Manual,"1,07,803 km",Diesel,1st Owner,"₹4,95,899"
Gurgaon,2010,Maruti,Ritz VXI GENUS,Manual,"1,08,338 km",Petrol,1st Owner,"₹2,30,799"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"91,159 km",Diesel,1st Owner,"₹4,61,799"
Gurgaon,2012,Maruti,Alto K10 VXI,Manual,"1,24,138 km",Petrol,2nd Owner,"₹3,06,199"
Gurgaon,2012,Maruti,Ritz LDI,Manual,"1,01,187 km",Diesel,2nd Owner,"₹2,09,199"
Gurgaon,2013,Maruti,Swift VDI,Manual,"86,036 km",Diesel,1st Owner,"₹3,39,599"
Gurgaon,2014,Hyundai,Elite i20 MAGNA 1.4 CRDI,Manual,"82,414 km",Diesel,1st Owner,"₹4,74,899"
Gurgaon,2011,Volkswagen,Polo COMFORTLINE 1.2L PETROL,Manual,"75,137 km",Petrol,2nd Owner,"₹2,37,599"
Gurgaon,2011,Maruti,Ritz VXI BS IV,Manual,"76,919 km",Petrol,1st Owner,"₹2,50,499"
Gurgaon,2013,Maruti,Swift VDI,Manual,"87,266 km",Diesel,1st Owner,"₹3,69,499"
Gurgaon,2011,Honda,Brio 1.2 S MT I VTEC,Manual,"1,12,222 km",Petrol,1st Owner,"₹2,31,499"
Gurgaon,2014,Maruti,Swift VXI,Manual,"87,194 km",Petrol,1st Owner,"₹4,05,599"
Gurgaon,2013,Maruti,Swift VDI,Manual,"88,467 km",Diesel,2nd Owner,"₹3,78,899"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"85,551 km",Diesel,1st Owner,"₹4,19,999"
