LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"1,34,080 km",Diesel,1st Owner,"₹3,80,999"
New Delhi,2013,Maruti,Swift Dzire LDI BS IV,Manual,"1,46,512 km",Diesel,1st Owner,"₹2,73,099"
New Delhi,2018,Maruti,Dzire VDI,Manual,"93,652 km",Diesel,1st Owner,"₹6,23,399"
New Delhi,2014,Honda,Amaze 1.2 EMT I VTEC,Manual,"1,67,691 km",Petrol,1st Owner,"₹3,05,899"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"2,13,079 km",Diesel,1st Owner,"₹3,31,899"
New Delhi,2013,Volkswagen,Vento HIGHLINE DIESEL,Manual,"1,92,715 km",Diesel,1st Owner,"₹3,77,799"
New Delhi,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"18,595 km",Petrol + CNG,1st Owner,"₹5,19,699"
New Delhi,2008,Honda,City ZX GXI,Manual,"1,02,509 km",Petrol,1st Owner,"₹1,65,199"
New Delhi,2011,Honda,City S MT PETROL,Manual,"1,36,865 km",Petrol,1st Owner,"₹3,17,399"
New Delhi,2011,Toyota,Etios VX,Manual,"1,13,073 km",Petrol + CNG,3rd Owner,"₹3,00,099"
New Delhi,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"2,41,014 km",Petrol,1st Owner,"₹3,20,099"
New Delhi,2018,Honda,Amaze 1.2 SAT I VTEC,Automatic,"1,816 km",Petrol,1st Owner,"₹6,73,299"
New Delhi,2016,Honda,City 1.5 E MT PETROL,,"31,190 km",Petrol,1st Owner,"₹5,36,199"
New Delhi,2010,Honda,City S MT PETROL,Manual,"35,578 km",Petrol,1st Owner,"₹3,96,199"
New Delhi,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"23,358 km",Diesel,1st Owner,"₹6,75,599"
New Delhi,2015,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"48,994 km",Diesel,1st Owner,"₹3,76,499"
New Delhi,2016,Toyota,Etios GD,Manual,"45,552 km",Diesel,2nd Owner,"₹4,46,999"
New Delhi,2016,Honda,City V MT PETROL,Manual,"25,204 km",Petrol,1st Owner,"₹6,94,599"
New Delhi,2018,Toyota,YARIS V MT,Manual,"14,459 km",Petrol,1st Owner,"₹8,05,499"
New Delhi,2015,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"48,994 km",Diesel,1st Owner,"₹3,76,499"
New Delhi,2016,Toyota,Etios GD,Manual,"45,552 km",Diesel,2nd Owner,"₹4,46,999"
New Delhi,2016,Honda,City V MT PETROL,Manual,"25,204 km",Petrol,1st Owner,"₹6,94,599"
New Delhi,2018,Toyota,YARIS V MT,Manual,"14,459 km",Petrol,1st Owner,"₹8,05,499"
New Delhi,2017,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"34,305 km",Petrol,3rd Owner,"₹7,64,399"
New Delhi,2013,Skoda,Rapid 1.6 TDI MT AMBITION,Manual,"66,577 km",Diesel,1st Owner,"₹3,15,699"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"67,566 km",Petrol + CNG,2nd Owner,"₹3,37,299"
New Delhi,2014,Hyundai,Xcent SX 1.2 OPT,Manual,"76,823 km",Petrol,3rd Owner,"₹2,85,999"
New Delhi,2020,Honda,City V CVT,,"15,981 km",Petrol,1st Owner,"₹9,77,899"
New Delhi,2017,Honda,City ZX CVT,Automatic,"23,115 km",Petrol,1st Owner,"₹9,78,899"
New Delhi,2018,Honda,Amaze 1.5 VXMT I DTEC,Manual,"47,332 km",Diesel,1st Owner,"₹5,79,899"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"69,555 km",Diesel,1st Owner,"₹3,58,499"
New Delhi,2014,Maruti,Swift Dzire ZDI,Manual,"82,175 km",Diesel,1st Owner,"₹4,28,399"
New Delhi,2017,Maruti,Dzire ZDI AMT,Automatic,"65,650 km",Diesel,2nd Owner,"₹5,33,799"
New Delhi,2015,Hyundai,Xcent SX 1.2,Manual,"80,841 km",Petrol,2nd Owner,"₹4,68,199"
New Delhi,2013,Maruti,Swift Dzire ZDI,Manual,"77,823 km",Diesel,1st Owner,"₹3,78,099"
New Delhi,2018,Maruti,Dzire ZDI Plus AMT,Automatic,"51,741 km",Diesel,1st Owner,"₹6,47,699"
New Delhi,2015,Honda,City VX (O) PETROL,,"78,491 km",Petrol,1st Owner,"₹5,83,399"
New Delhi,2018,Hyundai,Verna 1.4 CRDi EX MT,Manual,"51,969 km",Diesel,1st Owner,"₹8,18,299"
New Delhi,2013,Honda,City V MT PETROL,Manual,"84,704 km",Petrol,1st Owner,"₹4,52,099"
New Delhi,2016,Honda,City SV CVT PETROL,Automatic,"84,557 km",Petrol,1st Owner,"₹5,96,299"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"1,15,457 km",Diesel,1st Owner,"₹3,58,799"
New Delhi,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,00,187 km",Petrol,2nd Owner,"₹3,63,299"
New Delhi,2011,Honda,City V MT PETROL,Manual,"95,089 km",Petrol + CNG,1st Owner,"₹3,78,499"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"1,00,752 km",Diesel,1st Owner,"₹3,56,699"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"42,478 km",Diesel,2nd Owner,"₹3,45,599"
New Delhi,2013,Honda,City V MT PETROL,Manual,"40,028 km",Petrol,2nd Owner,"₹4,07,799"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"48,390 km",Diesel,1st Owner,"₹3,11,499"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"66,906 km",Diesel,2nd Owner,"₹3,69,999"
New Delhi,2016,Honda,City V MT PETROL,Manual,"56,403 km",Petrol,1st Owner,"₹5,64,799"
New Delhi,2012,Ford,Fiesta TITANIUM DIESEL,Manual,"68,356 km",Diesel,2nd Owner,"₹3,08,299"
New Delhi,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"33,744 km",Petrol,1st Owner,"₹5,07,299"
New Delhi,2015,Toyota,Etios VD 1.4,Manual,"61,842 km",Diesel,1st Owner,"₹4,25,799"
New Delhi,2013,Maruti,Swift Dzire VDI,Manual,"69,373 km",Diesel,1st Owner,"₹3,47,999"
New Delhi,2010,Honda,City S MT PETROL,Manual,"86,479 km",Petrol,3rd Owner,"₹2,97,299"
New Delhi,2008,Honda,Accord 2.4 MT,Manual,"56,382 km",Petrol,2nd Owner,"₹3,54,199"
New Delhi,2012,Honda,City V MT SUNROOF,,"68,161 km",Petrol,1st Owner,"₹4,76,799"
New Delhi,2019,Maruti,Ciaz ALPHA 1.5 AT VTVT SHVS,Manual,"16,080 km",Petrol,1st Owner,"₹9,74,199"
New Delhi,2012,Maruti,Swift Dzire ZDI,Manual,"79,396 km",Diesel,1st Owner,"₹3,65,899"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"81,808 km",Diesel,1st Owner,"₹3,34,699"
New Delhi,2014,Honda,City S MT DIESEL,Manual,"69,406 km",Diesel,1st Owner,"₹4,38,799"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"84,417 km",Diesel,1st Owner,"₹3,73,199"
New Delhi,2008,Honda,City S MT PETROL,Manual,"91,032 km",Petrol,3rd Owner,"₹2,56,399"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,49,275 km",Diesel,1st Owner,"₹3,40,999"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"73,770 km",Diesel,1st Owner,"₹4,11,799"
New Delhi,2013,Maruti,Swift Dzire VDI,Manual,"79,116 km",Diesel,1st Owner,"₹3,74,199"
New Delhi,2017,Maruti,Ciaz VDI+ SHVS,Manual,"60,966 km",Diesel,1st Owner,"₹5,87,799"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"90,249 km",Diesel,1st Owner,"₹3,11,699"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"88,835 km",Diesel,1st Owner,"₹3,51,399"
New Delhi,2014,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"82,592 km",Diesel,2nd Owner,"₹4,66,999"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"94,644 km",Diesel,1st Owner,"₹3,12,899"
New Delhi,2014,Honda,City VX MT DIESEL,Manual,"73,116 km",Diesel,1st Owner,"₹5,50,799"
New Delhi,2009,Ford,Fiesta 1.6 EXI LTD,Manual,"94,121 km",Petrol,1st Owner,"₹2,32,399"
New Delhi,2015,Honda,City S MT DIESEL,Manual,"80,697 km",Diesel,1st Owner,"₹5,57,499"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,447 km",Diesel,1st Owner,"₹3,23,599"
New Delhi,2012,Toyota,Etios GD,Manual,"1,13,695 km",Diesel,2nd Owner,"₹2,98,699"
New Delhi,2012,Honda,City S AT,Automatic,"98,433 km",Petrol,2nd Owner,"₹4,49,899"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,14,363 km",Diesel,1st Owner,"₹3,70,099"
New Delhi,2014,Maruti,Ciaz VDI PLUS,Manual,"93,198 km",Diesel,1st Owner,"₹4,44,199"
New Delhi,2012,Honda,City S MT PETROL,Manual,"81,565 km",Petrol,3rd Owner,"₹4,54,299"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"96,978 km",Diesel,1st Owner,"₹3,98,999"
New Delhi,2014,Honda,City E MT DIESEL,Manual,"1,37,256 km",Diesel,2nd Owner,"₹3,91,399"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,04,974 km",Petrol,1st Owner,"₹4,22,799"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 EX CRDI,Manual,"1,25,497 km",Diesel,2nd Owner,"₹3,09,499"
New Delhi,2015,Maruti,Swift Dzire ZDI,Manual,"1,06,941 km",Diesel,1st Owner,"₹4,28,299"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"1,47,667 km",Diesel,1st Owner,"₹2,84,099"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,17,081 km",Petrol,2nd Owner,"₹3,69,799"
New Delhi,2017,Maruti,Dzire VDI,Manual,"1,34,698 km",Diesel,1st Owner,"₹5,67,999"
New Delhi,2013,Maruti,Swift Dzire ZDI,Manual,"1,03,531 km",Diesel,2nd Owner,"₹5,08,099"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,40,313 km",Diesel,1st Owner,"₹3,50,699"
New Delhi,2015,Honda,Amaze 1.5 SMT I DTEC,Manual,"1,36,775 km",Diesel,1st Owner,"₹2,90,199"
New Delhi,2013,Maruti,Swift Dzire ZDI,Manual,"1,38,136 km",Diesel,1st Owner,"₹3,70,999"
New Delhi,2013,Honda,Amaze 1.5 EXMT I DTEC,Manual,"91,108 km",Diesel,1st Owner,"₹3,22,699"
New Delhi,2012,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"1,13,789 km",Petrol,2nd Owner,"₹3,87,799"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,08,818 km",Diesel,2nd Owner,"₹5,71,699"
New Delhi,2010,Honda,City S MT PETROL,Manual,"1,27,375 km",Petrol,1st Owner,"₹3,94,199"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"96,333 km",Diesel,1st Owner,"₹3,41,099"
New Delhi,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"32,655 km",Petrol,1st Owner,"₹3,83,299"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"62,583 km",Diesel,2nd Owner,"₹4,60,899"
New Delhi,2008,Maruti,SX4 VXI,Manual,"76,195 km",Petrol,1st Owner,"₹1,94,099"
New Delhi,2010,Maruti,Swift Dzire VXI,Manual,"80,042 km",Petrol,1st Owner,"₹2,51,799"
New Delhi,2019,Honda,Amaze 1.2 V MT I-VTEC,,"9,585 km",Petrol,1st Owner,"₹6,39,799"
New Delhi,2019,Hyundai,Xcent S 1.2,Manual,"15,293 km",Petrol,1st Owner,"₹5,04,999"
New Delhi,2011,Hyundai,Verna FLUIDIC 1.4 VTVT,Manual,"52,897 km",Petrol + CNG,3rd Owner,"₹2,87,499"
New Delhi,2012,Maruti,Swift Dzire ZDI,Manual,"52,072 km",Diesel,1st Owner,"₹3,63,199"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 EX VTVT,Manual,"48,097 km",Petrol,1st Owner,"₹3,93,199"
New Delhi,2015,Honda,Amaze 1.2 VXMT I VTEC,Manual,"27,407 km",Petrol,1st Owner,"₹5,16,599"
New Delhi,2015,Ford,Figo Aspire 1.5 TITANIUM DIESEL,Manual,"58,787 km",Diesel,1st Owner,"₹4,46,799"
New Delhi,2017,Maruti,Dzire VXI,Manual,"84,757 km",Petrol,1st Owner,"₹4,72,999"
New Delhi,2014,Honda,Amaze 1.5 SMT I DTEC,Manual,"66,715 km",Diesel,1st Owner,"₹3,22,899"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 EX CRDI,Manual,"32,862 km",Diesel,2nd Owner,"₹4,66,799"
New Delhi,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"80,717 km",Diesel,1st Owner,"₹5,58,399"
New Delhi,2017,Maruti,Dzire VDI AMT,Automatic,"47,036 km",Diesel,1st Owner,"₹6,15,799"
New Delhi,2010,Maruti,Swift Dzire VXI,Manual,"99,765 km",Petrol + CNG,1st Owner,"₹2,06,999"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"96,753 km",Diesel,1st Owner,"₹2,59,999"
New Delhi,2014,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"83,912 km",Diesel,1st Owner,"₹5,33,499"
New Delhi,2015,Hyundai,Xcent SX AT 1.2 OPT,Automatic,"92,506 km",Petrol,2nd Owner,"₹4,05,399"
New Delhi,2014,Honda,City VX MT DIESEL,Manual,"1,35,964 km",Diesel,1st Owner,"₹5,43,499"
New Delhi,2015,Honda,City VX MT DIESEL,Manual,"1,26,964 km",Diesel,1st Owner,"₹5,41,299"
New Delhi,2014,Toyota,Etios GD,Manual,"1,25,493 km",Diesel,1st Owner,"₹3,22,499"
New Delhi,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"62,045 km",Petrol,1st Owner,"₹4,38,599"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"43,289 km",Petrol,1st Owner,"₹4,03,299"
New Delhi,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"49,869 km",Petrol,1st Owner,"₹3,84,699"
New Delhi,2018,Maruti,Ciaz DELTA 1.4 VVT AT,,"20,258 km",Petrol,1st Owner,"₹6,99,899"
New Delhi,2015,Honda,City SV CVT PETROL,Automatic,"69,769 km",Petrol,1st Owner,"₹5,96,299"
New Delhi,2013,Honda,Amaze 1.5 VXMT I DTEC,Manual,"63,748 km",Diesel,3rd Owner,"₹2,85,999"
New Delhi,2008,Maruti,Swift Dzire VXI 1.3,Manual,"58,317 km",Petrol,2nd Owner,"₹1,99,599"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"62,602 km",Diesel,1st Owner,"₹3,49,799"
New Delhi,2013,Nissan,Sunny XL DIESEL,Manual,"66,294 km",Diesel,2nd Owner,"₹2,94,399"
New Delhi,2012,Maruti,Swift Dzire ZDI,Manual,"72,105 km",Diesel,1st Owner,"₹3,65,599"
New Delhi,2010,Maruti,Swift Dzire VXI,Manual,"51,329 km",Petrol,1st Owner,"₹2,98,299"
New Delhi,2012,Honda,City S MT PETROL,Manual,"71,335 km",Petrol,1st Owner,"₹4,35,399"
New Delhi,2017,Maruti,Dzire VDI,Manual,"60,278 km",Diesel,1st Owner,"₹5,49,399"
New Delhi,2010,Honda,City S MT PETROL,Manual,"76,740 km",Petrol,3rd Owner,"₹3,11,899"
New Delhi,2010,Honda,City S MT PETROL,Manual,"81,442 km",Petrol,3rd Owner,"₹3,44,999"
New Delhi,2011,Toyota,Etios VX,Manual,"1,06,148 km",Petrol,2nd Owner,"₹2,65,799"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"77,954 km",Diesel,2nd Owner,"₹2,99,599"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"87,027 km",Diesel,1st Owner,"₹3,57,099"
New Delhi,2011,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"76,880 km",Petrol,1st Owner,"₹2,82,699"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"84,311 km",Diesel,1st Owner,"₹3,95,099"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,05,522 km",Diesel,1st Owner,"₹3,19,699"
New Delhi,2015,Maruti,Ciaz VDI+ SHVS,Manual,"95,637 km",Diesel,1st Owner,"₹5,37,199"
New Delhi,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,40,387 km",Petrol,1st Owner,"₹3,69,299"
New Delhi,2013,Maruti,Swift Dzire VDI,Manual,"1,22,425 km",Diesel,1st Owner,"₹3,67,199"
New Delhi,2013,Renault,Fluence 1.5 E4,Manual,"1,22,248 km",Diesel,1st Owner,"₹3,48,899"
New Delhi,2011,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,10,755 km",Petrol,2nd Owner,"₹2,68,299"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,29,364 km",Diesel,1st Owner,"₹3,41,899"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 EX CRDI AT,Automatic,"98,281 km",Diesel,1st Owner,"₹5,87,699"
New Delhi,2012,Toyota,Etios GD,Manual,"1,56,651 km",Diesel,2nd Owner,"₹2,40,199"
New Delhi,2015,Maruti,Swift Dzire LDI BS IV,Manual,"1,58,145 km",Diesel,1st Owner,"₹3,63,699"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,22,399 km",Diesel,1st Owner,"₹5,27,499"
New Delhi,2014,Fiat,Linea DYNAMIC 1.3 L ADVANCED MULTIJET,Manual,"1,54,343 km",Diesel,1st Owner,"₹3,52,799"
New Delhi,2017,Hyundai,Verna 1.6 CRDI SX + AT,Automatic,"1,32,086 km",Diesel,1st Owner,"₹9,18,599"
New Delhi,2015,Toyota,Etios GD,Manual,"1,84,158 km",Diesel,1st Owner,"₹3,69,299"
New Delhi,2018,Honda,City V CVT,,"1,19,791 km",Petrol,1st Owner,"₹7,55,299"
New Delhi,2019,Maruti,Dzire ZXI AMT,Automatic,"34,172 km",Petrol,1st Owner,"₹7,50,699"
New Delhi,2015,Toyota,Etios CROSS 1.4 GD,Manual,"79,123 km",Diesel,1st Owner,"₹4,14,899"
New Delhi,2012,Toyota,Etios G SP,Manual,"1,18,764 km",Petrol,1st Owner,"₹2,57,999"
New Delhi,2011,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"46,475 km",Petrol,3rd Owner,"₹2,82,999"
New Delhi,2014,Maruti,Swift Dzire ZDI,Manual,"27,735 km",Diesel,1st Owner,"₹4,54,899"
New Delhi,2015,Maruti,Swift Dzire LDI BS IV,Manual,"1,58,145 km",Diesel,1st Owner,"₹3,63,699"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,22,399 km",Diesel,1st Owner,"₹5,27,499"
New Delhi,2014,Fiat,Linea DYNAMIC 1.3 L ADVANCED MULTIJET,Manual,"1,54,343 km",Diesel,1st Owner,"₹3,52,799"
New Delhi,2017,Hyundai,Verna 1.6 CRDI SX + AT,Automatic,"1,32,086 km",Diesel,1st Owner,"₹9,18,599"
New Delhi,2015,Toyota,Etios GD,Manual,"1,84,158 km",Diesel,1st Owner,"₹3,69,299"
New Delhi,2018,Honda,City V CVT,,"1,19,791 km",Petrol,1st Owner,"₹7,55,299"
New Delhi,2019,Maruti,Dzire ZXI AMT,Automatic,"34,172 km",Petrol,1st Owner,"₹7,50,699"
New Delhi,2015,Toyota,Etios CROSS 1.4 GD,Manual,"79,123 km",Diesel,1st Owner,"₹4,14,899"
New Delhi,2012,Toyota,Etios G SP,Manual,"1,18,764 km",Petrol,1st Owner,"₹2,57,999"
New Delhi,2011,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"46,475 km",Petrol,3rd Owner,"₹2,82,999"
New Delhi,2014,Maruti,Swift Dzire ZDI,Manual,"27,735 km",Diesel,1st Owner,"₹4,54,899"
New Delhi,2017,Honda,Amaze 1.2 SMT I VTEC,Manual,"37,701 km",Petrol,1st Owner,"₹4,55,099"
New Delhi,2015,Maruti,Ciaz VDI PLUS,Manual,"67,006 km",Diesel,3rd Owner,"₹4,36,799"
New Delhi,2008,Honda,Accord 2.4 AT I VTEC,Automatic,"61,728 km",Petrol,2nd Owner,"₹3,01,899"
New Delhi,2013,Maruti,Swift Dzire ZDI,Manual,"65,239 km",Diesel,1st Owner,"₹4,76,799"
New Delhi,2015,Hyundai,Xcent S 1.1 CRDI,Manual,"70,575 km",Diesel,1st Owner,"₹3,42,099"
New Delhi,2018,Honda,Amaze 1.5 SMT I DTEC,Manual,"56,926 km",Diesel,1st Owner,"₹5,63,499"
New Delhi,2017,Hyundai,Verna 1.6 CRDI SX + AT,Automatic,"39,120 km",Diesel,1st Owner,"₹10,23,099"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"95,741 km",Diesel,1st Owner,"₹4,07,999"
New Delhi,2008,Honda,City ZX GXI,Manual,"2,07,586 km",Petrol,1st Owner,"₹1,49,499"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"48,288 km",Diesel,1st Owner,"₹3,97,899"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"49,118 km",Diesel,1st Owner,"₹3,67,099"
New Delhi,2011,Honda,City S MT PETROL,Manual,"56,073 km",Petrol,1st Owner,"₹3,50,099"
New Delhi,2013,Honda,Amaze 1.2 EMT I VTEC,Manual,"53,024 km",Petrol,3rd Owner,"₹3,51,299"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"56,552 km",Diesel,1st Owner,"₹3,27,499"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"65,946 km",Diesel,1st Owner,"₹3,29,299"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"56,121 km",Diesel,1st Owner,"₹2,81,299"
New Delhi,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"62,045 km",Petrol,1st Owner,"₹4,38,599"
New Delhi,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"43,289 km",Petrol,1st Owner,"₹4,03,299"
New Delhi,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"49,869 km",Petrol,1st Owner,"₹3,84,699"
New Delhi,2018,Maruti,Ciaz DELTA 1.4 VVT AT,,"20,258 km",Petrol,1st Owner,"₹6,99,899"
New Delhi,2015,Honda,City SV CVT PETROL,Automatic,"69,769 km",Petrol,1st Owner,"₹5,96,299"
New Delhi,2013,Honda,Amaze 1.5 VXMT I DTEC,Manual,"63,748 km",Diesel,3rd Owner,"₹2,85,999"
New Delhi,2008,Maruti,Swift Dzire VXI 1.3,Manual,"58,317 km",Petrol,2nd Owner,"₹1,99,599"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"62,602 km",Diesel,1st Owner,"₹3,49,799"
New Delhi,2013,Nissan,Sunny XL DIESEL,Manual,"66,294 km",Diesel,2nd Owner,"₹2,94,399"
New Delhi,2012,Maruti,Swift Dzire ZDI,Manual,"72,105 km",Diesel,1st Owner,"₹3,65,599"
New Delhi,2010,Maruti,Swift Dzire VXI,Manual,"51,329 km",Petrol,1st Owner,"₹2,98,299"
New Delhi,2012,Honda,City S MT PETROL,Manual,"71,335 km",Petrol,1st Owner,"₹4,35,399"
New Delhi,2017,Maruti,Dzire VDI,Manual,"60,278 km",Diesel,1st Owner,"₹5,49,399"
New Delhi,2012,Honda,City V MT SUNROOF,,"68,161 km",Petrol,1st Owner,"₹4,76,799"
New Delhi,2019,Maruti,Ciaz ALPHA 1.5 AT VTVT SHVS,Manual,"16,080 km",Petrol,1st Owner,"₹9,74,199"
New Delhi,2012,Maruti,Swift Dzire ZDI,Manual,"79,396 km",Diesel,1st Owner,"₹3,65,899"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"81,808 km",Diesel,1st Owner,"₹3,34,699"
New Delhi,2014,Honda,City S MT DIESEL,Manual,"69,406 km",Diesel,1st Owner,"₹4,38,799"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"84,417 km",Diesel,1st Owner,"₹3,73,199"
New Delhi,2008,Honda,City S MT PETROL,Manual,"91,032 km",Petrol,3rd Owner,"₹2,56,399"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,49,275 km",Diesel,1st Owner,"₹3,40,999"
New Delhi,2012,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"73,770 km",Diesel,1st Owner,"₹4,11,799"
New Delhi,2013,Maruti,Swift Dzire VDI,Manual,"79,116 km",Diesel,1st Owner,"₹3,74,199"
New Delhi,2017,Maruti,Ciaz VDI+ SHVS,Manual,"60,966 km",Diesel,1st Owner,"₹5,87,799"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"90,249 km",Diesel,1st Owner,"₹3,11,699"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"88,835 km",Diesel,1st Owner,"₹3,51,399"
New Delhi,2014,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"82,592 km",Diesel,2nd Owner,"₹4,66,999"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"94,644 km",Diesel,1st Owner,"₹3,12,899"
New Delhi,2014,Honda,City VX MT DIESEL,Manual,"73,116 km",Diesel,1st Owner,"₹5,50,799"
New Delhi,2009,Ford,Fiesta 1.6 EXI LTD,Manual,"94,121 km",Petrol,1st Owner,"₹2,32,399"
New Delhi,2015,Honda,City S MT DIESEL,Manual,"80,697 km",Diesel,1st Owner,"₹5,57,499"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,447 km",Diesel,1st Owner,"₹3,23,599"
New Delhi,2012,Toyota,Etios GD,Manual,"1,13,695 km",Diesel,2nd Owner,"₹2,98,699"
New Delhi,2013,Maruti,Swift Dzire VDI,Manual,"1,22,425 km",Diesel,1st Owner,"₹3,67,199"
New Delhi,2013,Renault,Fluence 1.5 E4,Manual,"1,22,248 km",Diesel,1st Owner,"₹3,48,899"
New Delhi,2011,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,10,755 km",Petrol,2nd Owner,"₹2,68,299"
New Delhi,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,29,364 km",Diesel,1st Owner,"₹3,41,899"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 EX CRDI AT,Automatic,"98,281 km",Diesel,1st Owner,"₹5,87,699"
New Delhi,2012,Toyota,Etios GD,Manual,"1,56,651 km",Diesel,2nd Owner,"₹2,40,199"
New Delhi,2015,Maruti,Swift Dzire LDI BS IV,Manual,"1,58,145 km",Diesel,1st Owner,"₹3,63,699"
New Delhi,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,22,399 km",Diesel,1st Owner,"₹5,27,499"
